 1.3227E+06  0            Lin-Lin
 1.4E+06     0.31669      Lin-Lin
 1.55E+06    0.52304      Lin-Lin
 1.707E+06   0.64908      Lin-Lin
 1.9057E+06  0.86768      Lin-Lin
 2.1415E+06  1.04213      Lin-Lin
 2.2783E+06  1.19724      Lin-Lin
 2.3065E+06  1.22168      Lin-Lin
 2.4327E+06  1.38451      Lin-Lin
 2.4833E+06  1.45862      Lin-Lin
 2.5789E+06  1.56838      Lin-Lin
 2.6279E+06  1.61902      Lin-Lin
 2.6538E+06  1.64683      Lin-Lin
 2.8704E+06  1.84954      Lin-Lin
 2.8903E+06  1.86955      Lin-Lin
 3.0012E+06  1.96622      Lin-Lin
 3.2357E+06  2.12148      Lin-Lin
 3.2995E+06  2.15814      Lin-Lin
 3.5E+06     2.27842      Lin-Lin
 3.659E+06   2.36039      Lin-Lin
 4E+06       2.49241      Lin-Lin
 4.5E+06     2.57859      Lin-Lin
 5E+06       2.58126      Lin-Lin
 5.5E+06     2.54927      Lin-Lin
 6E+06       2.51311      Lin-Lin
 6.1419E+06  2.50336      Lin-Lin
 6.5E+06     2.48182      Lin-Lin
 7E+06       2.45985      Lin-Lin
 7.5E+06     2.44475      Lin-Lin
 7.7294E+06  2.44123      Lin-Lin
 8.0541E+06  2.43899      Lin-Lin
 8.25E+06    2.42306      Lin-Lin
 8.5E+06     2.36881      Lin-Lin
 8.75E+06    2.28583      Lin-Lin
 9E+06       2.16464      Lin-Lin
 9.25E+06    2.05155      Lin-Lin
 9.3871E+06  1.96152      Lin-Lin
 9.5E+06     1.9077       Lin-Lin
 9.75E+06    1.78872      Lin-Lin
 9.9704E+06  1.65606      Lin-Lin
 1.025E+07   1.53117      Lin-Lin
 1.05E+07    1.43457      Lin-Lin
 1.075E+07   1.34805      Lin-Lin
 1.1E+07     1.27045      Lin-Lin
 1.15E+07    1.09953      Lin-Lin
 1.2E+07     0.981325     Lin-Lin
 1.25E+07    0.886929     Lin-Lin
 1.3E+07     0.80927      Lin-Lin
 1.35E+07    0.743919     Lin-Lin
 1.4E+07     0.690316     Lin-Lin
 1.45E+07    0.644835     Lin-Lin
 1.4554E+07  0.639924     Lin-Lin
 1.5E+07     0.602094     Lin-Lin
 1.55E+07    0.564396     Lin-Lin
 1.6E+07     0.530438     Lin-Lin
 1.65E+07    0.499901     Lin-Lin
 1.7E+07     0.471515     Lin-Lin
 1.75E+07    0.444744     Lin-Lin
 1.8E+07     0.419341     Lin-Lin
 1.85E+07    0.395638     Lin-Lin
 1.9E+07     0.373002     Lin-Lin
 1.95E+07    0.351429     Lin-Lin
 2E+07       0.330872     Lin-Lin
